nombre_oficial,url,calle,colonia,cp,alcaldia,telefonos,horarios,costos,resumen,fundacion,latitud,longitud
Museo Centro Cultural Nacional Pedro Infante,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1820,Av. Juárez s/n esq. Veracruz,San Pedro Cuajimalpa,5000,Cuajimalpa de Morelos,55 5814 1100 ext. 2212,Martes a domingo de 10 a 17 h,Entrada libre,"Museo dedicado a honrar a la máxima leyenda del cine mexicano, Pedro Infante. Expone una colección de artículos personales y el vestuario original de sus películas más representativas.",1 de marzo de 2015,19.35324,-99.3007818
Museo de la Basílica de Guadalupe,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=728,Plaza de las Américas 1,Villa de Guadalupe,7050,Gustavo A. Madero,"55 5577 6022 exts. 175, 189, 137, 206, 55 5781 6810, 5118 0500 exts. 576, 476, 378, 479",Abierto al público de martes a domingo de 10:00 a 17:00 hrs.,"Entrada general: $10, Inapam y estudiantes $ 5",El Museo de la Basílica de Guadalupe tiene la misión de resguardar y exhibir las obras artísticas encargadas o adquiridas durante varios siglos por el clero.,12 de octubre de 1941,19.4449261,-99.27520709999999
Museo de los Ferrocarrileros,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1285,Alberto Herrera s/n esq. Hidalgo y Aquiles Serdán,Aragón La Villa,7000,Gustavo A. Madero,"55 5118 6407, 55 5118 6409",Martes a domingo de 10 a 17 h,Entrada libre,"El Museo de los Ferrocarrileros se encuentra asentado en la estación de ferrocarril de La Villa, la más antigua estación que se conserva en la ciudad de México. Guarda como elementos componentes de su edificación: sala de espera, oficina del jefe de estación y de telégrafo, casa habitación para el jefe de estación, dos bodegas y servicios sanitarios.",,19.4815314,-99.1165643
Planetario Luis Enrique Erro,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=537,Av. Wilfrido Massieu s/n,Zacatenco,7738,Gustavo A. Madero,55 5729 6000 ext. 53925,martes a domingo de 10:00 a 17:00 hrs.,"Entrada a la Proyección del Planetario: $ 40. Estudiantes y profesorado con credencial vigente, adultos mayores con credencial vigente del INAPAM, niños menores de 12 años y personas con discapacidad: $ 30",Es el primer planetario de México abierto al público y uno de los más antiguos de América Latina. Cuenta con la tecnología de simulación de la bóveda celeste más avanzada de su época.,2 de enero de 1967,19.4964536,-99.1407254
Museo de Geología y Paleontología,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=908,Av. Ticomán 600,San José Ticomán,7340,Gustavo A. Madero,55 5729 6000 ext. 56043,Lunes a viernes de 9:00 a 16:00 hrs.,Entrada libre,"El Museo de Geología y Paleontología es una dependencia de la Escuela Superior de Ingeniería y Arquitectura del Instituto Politécnico Nacional que cuenta con una colección de minerales, rocas y fósiles, incluyendo restos de mamut y caballo.",1 de noviembre de 1982,19.5082513,-99.1321255
El Museo de Historia del Mormonismo en México,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1706,Av. 510 núm. 79,"San Juan de Aragón, 1a. sección",7950,Gustavo A. Madero,,Abierto al público de martes a sábado de 10:00 a 16:00 hrs.,Entrada libre,"El Museo de Historia del Mormonismo en México ofrece a sus visitantes la historia de la Iglesia. Dentro de sus servicios, se llevan a cabo conferencias, programas especiales y exposiciones pictóricas.",1 de octubre de 1991,19.4648499,-99.0874139
Museo de Figuras de Cera de la Villa,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=732,Calz. de los Misterios 880,Tepeyac Insurgentes,7020,Gustavo A. Madero,55 5781 9455,Abierto al público de lunes a domingo de 9:30 a 19 hrs.,"Entrada general $20, Niños menores de 6 años y adultos mayores: $10","El Museo de Figuras de Cera es un recinto de arte hiperrealista mexicano donde se exhiben figuras confeccionadas a mano con la técnica tradicional sobre cera de abeja, sin silicón.",12 de diciembre de 1957,19.4848432,-99.1190489
Museo Diablos: Una Historia Incomparable,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2234,"Av. Viaducto Río de la Piedad Ciudad Deportiva de la Magdalena Mixihuca, puerta 8",Granjas México,8400,Iztacalco,55 9128 7200,"Entrada general $100, Estudiantes y personas de la tercera edad $50, Niños gratis.","Entrada general $100, Estudiantes y personas de la tercera edad $50, Niños gratis.","El Museo Diablos: Una Historia Incomparable preserva, difunde y continúa la historia de más de 80 años de los Diablos Rojos del México, con un espacio que refleja la pasión, el legado y la memoria del béisbol y el arte.",,19.4076083,-99.0915314
Planetario Katya Echazarreta,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2386,Río Nilo esq. Av. Reforma,Lomas de San Lorenzo,9780,Iztapalapa,,Martes a jueves de 12:00 a 17:00 h. y de viernes a domingo de 11:00 a 17:00 h.,Entrada libre,"El planetario lleva el nombre en honor a Katya Echazarreta, la astronauta mexicana, con el que se pretende acercar la ciencia a los jóvenes y a los capitalinos.",17 de marzo de 2023,19.3266762,-99.0684623
Museo del Pueblo de San Lorenzo Tezonco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2566,Miguel Lerdo de Tejada 32,Barrio San Antonio,9900,Iztapalapa,"55 1279 0207, 55 1856 9599","Martes a viernes de 10 a 18 h, sábados y domingos de 08 a 20 h",Entrada libre,El Museo Comunitario de San Lorenzo Tezonco fue inaugurado en agosto de 2024 para preservar la historia y tradiciones del pueblo originario de Iztapalapa.,1 de agosto de 2024,19.3093192,-99.0735706
Museo-Observatorio Interactivo de Hundimiento y Fracturamiento (OIHFRA),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2284,Colima s/n,San Sebastián Tecoloxtitlán,9520,Iztapalapa,"55 54 45 10 77, 55 12345 67899; 55 5623 4000 ext. 34525",Martes a domingo de 10 a 18 hrs.,Entrada gratuita,"El Museo-Observatorio Interactivo de Hundimiento y Fracturamiento (OIHFRA) es un espacio que exhibe la historia de los volcanes y los lagos que se formaron en la Ciudad de México, así como el origen del agua que se utiliza en las casas. Explica por qué la ciudad presenta mayores hundimientos del mundo y por qué Iztapalapa es una de las zonas más afectadas por el fracturamiento del subsuelo.",18 de noviembre de 2022,19.3627005,-99.0191202
Museo Comunitario de San Miguel Teotongo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=531,Amillita s/n entre Curro Rivera y Américas,San Miguel Teotongo,9630,Iztapalapa,"55 9325 4970, 55 5686 1867 ext. 1167",Martes a domingo de 10 a 17 h.,Entrada libre,"El Museo alberga piezas prehispánicas encontradas por los vecinos durante la edificación de la colonia San Miguel Teotongo. Fue fundado en 1994, a partir que se encontró un entierro ritual, en el campamento Francisco Villa de esta colonia.",31 de octubre de 1994,19.3441372,-98.9877524
Museo Comunitario del Pueblo de Santa Martha Acatitla,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2567,Gabriel Tepoapa s/n,Pueblo de Santa Martha Acatitla,9510,Iztapalapa,55 1279 0207,Martes a viernes 9 a 18 h,,"El Museo Comunitario del Pueblo de Santa Martha Acatitla tiene como objetivo preservar la historia, la cultura y las tradiciones de este pueblo originario a través de exposiciones, talleres y actividades.",25 de septiembre de 2024,19.35433,-99.00967
Museo Comunitario Ocho Barrios de Ixtapalapa,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2571,Av. Ermita Iztapalapa 100,Barrio San Pablo,9000,Iztapalapa,"55 5445 1068, 55 5445 1114, 55 5445 1191 ext. 1188",Martes a domingos de 10 a 18 h,,El Museo Comunitario Ocho Barrios de Ixtapalapa difunde y preserva las tradiciones y diversas manifestaciones culturales de los ocho barrios que conforman el pueblo originario de Ixtapalapa.,10 de abril de 2024,19.3578599,-99.08813239999999
"Centro Comunitario Culhuacán, Exconvento de San Juan Evangelista",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=971,Morelos 10,Culhuacán,9800,Iztapalapa,"55 4166 0780 al 84 exts. 413506, 413512",Martes a viernes de 9 h a 17 h,Entrada libre. La utilización de videocámara está sujeta al pago de derechos,"El Centro Comunitario Culhuacán, Exconvento de San Juan Evangelista es un museo que alberga objetos de los periodos prehispánico y virreinal, así como la recreación de celdas agustinas y una exposición fotográfica sobre el inmueble.",1 de febrero de 1984,19.3394846,-99.10772209999999
Museo Yancuic,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2385,Av. Ermita Iztapalapa,Los Ángeles,9830,Iztapalapa,55 1719 3000 ext. 1314,Miércoles a domingo de 10 a 13 hrs.,Entrada gratuita.,"El Museo Yancuic es un museo que combina arte, ciencia y tecnología, dirigido principalmente a un público infantil y juvenil. Cuenta con salas de exposiciones, talleres y espacios para la convivencia y creación artística.",24 de febrero de 2024,19.3508964,-99.0748087
Museo Barco Utopía,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2256,Parque Lineal Periférico Oriente y Eje 6 Sur,Unidad Habitacional Vicente Guerrero,9200,Iztapalapa,"55 2924 8932, 55 6764 6146",Martes a domingo de 10 a 18 hrs.,Entrada libre.,"El Museo Barco Utopía es un museo digital multidisciplinario que busca visibilizar las violencias estructurales originadas por las desigualdades sociales y económicas, sobre todo las que van dirigidas a las infancias, las mujeres y la naturaleza.",13 de abril de 2023,19.3648462,-99.0566035
Museo del Servicio de Transportes Eléctricos,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1877,"Av. Municipio Libre 402, piso 3",San Andrés Tetepilco,9440,Iztapalapa,"55 2595 0000 ext. 286, 55 5539 2800",Lunes a Sábado de 10:00 a 17:00 hrs. Domingo de 10:00 a 14:00 hrs.,La entrada es gratuita,Este museo surge en 2006 para conservar el acervo histórico de la evolución del transporte eléctrico público en la Ciudad de México.,1 de noviembre de 2006,19.3682576,-99.1330445
Museo Fuego Nuevo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=910,Parque Nacional Cerro de la Estrella s/n,Ampl. Veracruzana,9856,Iztapalapa,55 5545 1160,martes a domingo de 9 a 18 hrs.,Entrada libre,"El Museo Fuego Nuevo fue construido para resguardar los vestigios y piezas arqueológicas halladas en el Cerro de la Estrella. Cuenta con placas con la leyenda de los cinco soles, reproducciones de antiguos calendarios y mapas, así como maquetas de la antigua región de los lagos y de la ceremonia del Fuego Nuevo.",10 de enero de 1998,19.3438413,-99.0903396
Museo Cabeza de Juárez,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=547,Av. Guelatao s/n,U.H. Cabeza de Juárez III,9227,Iztapalapa,55 1883 6897,"Lunes a viernes de 8 a 15 h, Sábados y domingos de 11 a 17 h",Entrada libre,"El Museo Cabeza de Juárez es un museo con pinturas murales abstractas y una exposición permanente que incluye cronologías de 1806 a 1872, litografías y una colección de banderas de América.",21 de marzo de 1976,19.3705868,-99.0401929
Museo de las Culturas Pasión por Iztapalapa,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1535,Calz. Ermita Iztapalapa 100,Barrio San Pablo,9000,Iztapalapa,"55 5445 1068, 55 5445 1114, 55 5445 1191 ext. 1188",Martes a domingo de 10 a 18 h.,Entrada libre,"El Museo de las Culturas Pasión por Iztapalapa es un recinto construido en forma de caracol, con una rampa que inicia en la planta baja y llega hasta el quinto piso. Cuenta con espacios alternos como la Sala Roja, el Laberinto, la Sala Magna y el espacio donde se exhibe la Semana santa de Iztapalapa.",,19.3578599,-99.08813239999999
Museo Comunitario del Pueblo de Santiago Acahualtepec,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2565,Delia s/n,Pueblo Santiago Acahualtepec,9600,Iztapalapa,"55 1856 9599, 55 1279 0207",Lunes a domingo de 8 a 18 h,Entrada gratuita,"El Museo Comunitario del Pueblo de Santiago Acahualtepec exhibe la historia, tradiciones, fotografías, documentos y objetos de los habitantes del pueblo.",8 de septiembre de 2023,19.3514615,-99.0050612
Museo Regional Altepepialcalli,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=535,Av. Yucatán Nte. s/n,Villa Milpa Alta,12000,Milpa Alta,55 5862 3150 ext. 1505,Abierto al público lunes a domingo de 8 a 21 hrs.,Entrada libre,"Museo Regional que ofrece al público exposiciones diversas a lo largo del año. Imparte talleres de lengua náhuatl, pintura en tela y dibujo, entre otros.",4 de mayo de 1996,19.1955092,-99.0210127
Museo Cuartel Zapatista,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=915,Hermenegildo Galeana s/n esq. Gólgota,Pueblo de San Pablo Oztotepec,12400,"Villa Milpa Alta, Milpa Alta","55 5862 1515, 55 5862 0743",Abierto de lunes a viernes de 10:00 a 15:00 hrs.,$30.00,"El Museo Cuartel Zapatista se encuentra en un inmueble que sirvió como cuartel de la tropa zapatista durante la Revolución mexicana. Resguarda y exhibe documentos, armas, instrumentos y fotografías relacionados con este periodo histórico.",1 de enero de 1998,19.18641,-99.0715303
Centro Cultural Isidro Fabela-Museo Casa del Risco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=855,Plaza de San Jacinto 5 y 15,San Ángel,1000,Álvaro Obregón,"55 5616 2711, 55 5550 9286",Martes a viernes de 10 a 16 h,Entrada libre,"El Museo Casa del Risco, monumento histórico del siglo XVIII, muestra la colección de arte reunida por Isidro Fabela. Cuenta con 7 salas permanentes y una sala de exposiciones temporales.",8 de octubre de 1958,19.3451364,-99.1919638
Museo Casa Estudio Diego Rivera y Frida Kahlo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=805,Av. Altavista esq. Diego Rivera,San Ángel Inn,1060,Álvaro Obregón,55 8647 5470,Martes a domingo de 10 h a 17:30 h,"Entrada general: $45, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 12 años, estudiantes, docentes, personas adultas mayores y personas con discapacidad, Entrada libre: domingos","El Museo Casa Estudio Diego Rivera y Frida Kahlo es un espacio que exhibe obras de caballete, dibujos, piezas de arte prehispánico y popular, documentos, libros y objetos personales de ambos artistas mexicanos.",1986,19.3490082,-99.1977249
"Museo Soumaya, Plaza Loreto",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=730,Altamirano 46 entre Revolución y Río Magdalena,Tizapán San Ángel,1090,Álvaro Obregón,"55 5616 3731, 55 1103 9800",Miércoles a lunes de 10:30 a 18:30 h.,Entrada libre,"El Museo Soumaya es un museo dedicado a coleccionar, investigar y conservar testimonios artísticos de México y Europa.",12 de agosto de 1994,19.3375314,-99.1931592
Museo Nacional de la Vivienda (Munavi),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2322,"Gustavo E. Campa 60, 1er piso",Guadalupe Inn,1020,Álvaro Obregón,800 008 39 00,Martes a domingo de 11 a 18 h.,Entrada libre.,El Museo Nacional de la Vivienda (Munavi) tiene como objetivo incentivar la reflexión e importancia en torno a la casa habitación o edificios departamentales como un detonador de bienestar y cimiento de tejido social.,14 de febrero de 2023,19.360828,-99.1861675
Museo de Arte Alvar y Carmen T. de Carrillo Gil,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=794,Av. Revolución 1608 esq. Altavista,San Ángel,1000,Álvaro Obregón,"55 8647 5450, 55 8647 5452",Martes a domingo de 10 h a 18 h,"Entrada general: $70, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 12 años, estudiantes, docentes y personas adultas mayores, Entrada libre: domingos","El Museo de Arte Alvar y Carmen T. de Carrillo Gil alberga una colección artística de más de 1400 piezas, incluyendo obras de artistas reconocidos, y se considera un espacio importante para la difusión del arte contemporáneo nacional e internacional.",30 de agosto de 1974,19.34931,-99.19031129999999
Museo Nacional del Axolote AXOLOTITLÁN,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2237,Prol. 5 de Mayo 521,2do Parque las Águilas,1750,Álvaro Obregón,"56 2011 0035, 55 4574 2826",Martes a domingo de 9:00 a 16:00 h,"Costo de entrada general, maestros, estudiantes y niños: $50","El Museo Nacional del Axolote AXOLOTITLÁN tiene como misión sensibilizar al público sobre las causas de extinción, situación actual y las posibilidades de participación social en la conservación de las distintas especies de Ambystomas del país.",,19.3590712,-99.2177395
Museo de El Carmen,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=963,Av. Revolución 4 y 6,San Ángel,1000,Álvaro Obregón,+52 55 5616 6622,Miércoles a viernes de 11 h a 15 h; sábado y domingo de 10 h a 15 h,"Entrada general: $80, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes, personas adultas mayores y personas con discapacidad, Entrada libre: domingos, La utilización de videocámara es gratuita (previa autorización)","El antiguo Colegio de San Ángel de la Orden de los Carmelitas Descalzos, un tesoro novohispano correspondiente al siglo XVII, fue centro de la vida comunitaria durante esa época. El espacio museístico fue abierto al público el 9 de octubre de 1929.",1929,19.345877,-99.1896929
Antigua Ermita Vasco de Quiroga,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2423,Col. Lomas de Santa Fe,Lomas de Santa Fe,1210,Álvaro Obregón,,,,"El Proyecto Prioritario Chapultepec: Naturaleza y Cultura incluyó este oratorio del siglo XVI, que forma parte de la historia del pueblo de Santa Fe, como parte de su trabajo de recuperación y creación de espacios públicos. Este recinto inició operaciones el 22 de octubre de 2021.",22 de octubre de 2021,19.3594791,-99.2707271
